date,open,high,low,close,volume,prev_position,position,amount
2017-08-26 05:30:00,325.10140002,329.85686215,325.10140001,327.00000000,641.00724391,NaN,NaN,NaN
2017-08-26 06:00:00,326.60100011,327.42955060,325.10140002,327.42807997,275.05314977,NaN,NaN,NaN
2017-08-26 06:30:00,326.50000002,327.80600000,326.40000000,327.69999979,137.98979746,NaN,NaN,NaN
2017-08-26 07:00:00,327.59999979,328.62764661,326.36992953,328.62764661,348.06328902,NaN,NaN,NaN
2017-08-26 07:30:00,328.62764660,329.99999999,328.00100000,329.89999999,313.90352308,NaN,NaN,NaN
2017-08-26 08:00:00,329.89999999,330.23800000,329.01100002,330.00000000,421.01090184,NaN,NaN,NaN
2017-08-26 08:30:00,329.99999938,330.17993000,328.41110007,329.99999998,214.85572315,NaN,NaN,NaN
2017-08-26 09:00:00,330.18000000,330.18000000,328.00000000,328.49308173,358.99878299,NaN,NaN,NaN
2017-08-26 09:30:00,328.44999946,330.17999998,327.50163000,329.06010001,203.55209732,NaN,NaN,NaN
2017-08-26 10:00:00,328.60000230,330.00000000,328.60000230,329.99999999,125.07548336,NaN,NaN,NaN
2017-08-26 10:30:00,329.99999998,330.69457119,329.00000015,329.50000001,276.73202779,NaN,NaN,NaN
2017-08-26 11:00:00,329.32900026,329.98986000,328.20000012,329.29485996,314.99647421,NaN,NaN,NaN
2017-08-26 11:30:00,328.30957140,329.98867000,327.50149318,329.56146878,368.48108855,NaN,NaN,NaN
2017-08-26 12:00:00,329.16006346,329.99446380,328.35050045,328.50000008,401.59171456,NaN,NaN,NaN
2017-08-26 12:30:00,328.50000012,329.29985962,326.40000000,326.56000000,408.51127049,NaN,NaN,NaN
2017-08-26 13:00:00,326.56000000,328.34334659,325.25993001,326.05200012,859.31778733,NaN,NaN,NaN
2017-08-26 13:30:00,327.00000000,332.57550830,326.05200689,332.21000001,1151.83924441,NaN,NaN,NaN
2017-08-26 14:00:00,332.21000001,334.99999980,332.21000000,333.99800600,1471.91902098,NaN,NaN,NaN
2017-08-26 14:30:00,333.50000000,334.00000000,330.66228079,330.85555003,511.01471310,NaN,NaN,NaN
2017-08-26 15:00:00,331.00000000,332.99880998,327.33991533,330.50000000,1075.47038842,NaN,NaN,NaN
2017-08-26 15:30:00,330.53593310,332.28176850,328.07637090,328.50000055,350.27149352,NaN,NaN,NaN
2017-08-26 16:00:00,329.92537384,329.92537384,327.60000000,328.00000001,299.25787909,NaN,NaN,NaN
2017-08-26 16:30:00,328.00000001,329.85687025,327.60000002,329.85686936,258.75437589,NaN,NaN,NaN
2017-08-26 17:00:00,329.85686940,330.80504259,329.00049003,330.11371000,86.96323538,NaN,NaN,NaN
2017-08-26 17:30:00,330.00000000,330.11371000,328.83537236,330.11371000,183.69048623,NaN,NaN,NaN
2017-08-26 18:00:00,330.20000700,331.09182365,329.11319404,329.91296126,96.88983835,NaN,NaN,NaN
2017-08-26 18:30:00,330.00000000,333.00000000,328.46800000,330.31050000,422.02994460,NaN,NaN,NaN
2017-08-26 19:00:00,331.08895350,333.30000000,329.59991000,331.09720849,121.25524432,NaN,NaN,NaN
2017-08-26 19:30:00,332.34548000,333.00003000,331.34590056,332.49999996,103.60636750,NaN,NaN,NaN
2017-08-26 20:00:00,332.50000000,333.00000000,331.57895002,332.90000000,109.57686894,NaN,NaN,NaN
2017-08-26 20:30:00,332.90000000,333.00000000,332.00000000,332.49993001,119.31423203,NaN,NaN,NaN
2017-08-26 21:00:00,332.49993001,333.31881247,331.10924000,331.11000001,127.44971557,NaN,NaN,NaN
2017-08-26 21:30:00,331.30000000,332.96000000,331.00000000,331.58805534,158.16340571,NaN,NaN,NaN
2017-08-26 22:00:00,331.99999993,332.48999656,330.99725432,331.83134084,129.19665316,NaN,NaN,NaN
2017-08-26 22:30:00,332.48999900,332.92630000,331.00000000,331.91085571,262.90054472,NaN,NaN,NaN
2017-08-26 23:00:00,331.91085565,332.92630000,331.04010007,332.00000002,114.06170669,NaN,NaN,NaN
2017-08-26 23:30:00,332.00000000,333.50000000,332.00000000,332.50032705,203.64644898,NaN,NaN,NaN
2017-08-27 00:00:00,333.49999999,334.56061001,332.50000000,334.50000001,414.23033796,NaN,NaN,NaN
2017-08-27 00:30:00,334.56061001,336.00000000,334.50000000,335.66317855,937.10907544,NaN,NaN,NaN
2017-08-27 01:00:00,335.19994351,336.00000000,334.26001623,334.99999991,478.74481456,NaN,NaN,NaN
